,companyName,refreshTime,jobName,experience,education,companyNatureName,jobCategory,areaName,announcementUrl
142,柳林县人民政府,2024-03-15 18:17:30,"专业技术岗位3（初中信息技术）,专业技术岗位14（初中信息技术）",应届生,硕士研究生,公立（国有）,"中小学普通教师岗,中小学普通教师岗",山西-吕梁,https://www.gaoxiaojob.com/announcement/detail/196361.html
151,汾阳市教育科技局,2024-03-15 18:17:09,专业技术岗位14（信息技术）,应届生,硕士研究生,公立（国有）,中职教师岗（专业课类）,山西-吕梁,https://www.gaoxiaojob.com/announcement/detail/196363.html
139,无锡商业职业技术学院#,2024-03-15 18:16:12,"物联网与人工智能学院专任教师岗2,会计金融学院专任教师岗2,数字商务学院专任教师岗2",应届生,硕士研究生,公立（国有）,"专职教师/教学科研岗,专职教师/教学科研岗,专职教师/教学科研岗",江苏-无锡,https://www.gaoxiaojob.com/announcement/detail/196373.html
115,安徽省天然气开发股份有限公司,2024-03-15 17:16:07,管培生岗,应届生,硕士研究生,公立（国有）,管理培训生/储备干部,安徽-合肥,https://www.gaoxiaojob.com/announcement/detail/196052.html
105,天津商务职业学院#,2024-03-14 18:12:34,计算机类专业教师（三）,应届生,硕士研究生,公立（国有）,专职教师/教学科研岗,天津-天津,https://www.gaoxiaojob.com/announcement/detail/195725.html
84,吕梁市人民政府,2024-03-14 17:53:44,"专业技术岗位11—吕梁经济技术开发区管理委员会,专业技术岗位10—吕梁经济技术开发区管理委员会,专业技术岗位9—吕梁经济技术开发区管理委员会",应届生,硕士研究生,公立（国有）,"工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）",山西-吕梁,https://www.gaoxiaojob.com/announcement/detail/195818.html
178,蚌埠工商学院,2024-03-14 08:58:45,"大数据教师,计算机教师",应届生,硕士研究生,民营（私营）,"专职教师/教学科研岗,专职教师/教学科研岗",安徽-蚌埠,https://www.gaoxiaojob.com/announcement/detail/195562.html
58,住房和城乡建设部科技与产业化发展中心,2024-03-13 18:13:06,"信息与培训处建筑信息化岗,产业发展处智能建造科研与技术咨询岗",应届生,硕士研究生,公立（国有）,"工作人员（综合类）,工作人员（综合类）",北京-北京,https://www.gaoxiaojob.com/announcement/detail/195468.html
68,北京市禁毒科技中心,2024-03-13 18:08:31,实验数据分析岗,应届生,硕士研究生,公立（国有）,工作人员（技术人员岗类）,北京-北京,https://www.gaoxiaojob.com/announcement/detail/195440.html
29,中国有线电视网络有限公司,2024-03-13 18:08:24,技术岗,应届生,硕士研究生,公立（国有）,技术管理岗,北京-北京,https://www.gaoxiaojob.com/announcement/detail/195442.html
195,长江通信管理局,2024-03-13 18:07:21,"涪陵通信管理处设备维护,通信信息处科技与信息管理,运行保障处设备维护,通信信息处科技与信息管理,万州通信管理处信息管理,万州通信管理处设备维护,信息处通信信息管理,信息处科技与信息管理,通信处技术推广业务",应届生,硕士研究生,公立（国有）,"工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）",重庆-重庆,https://www.gaoxiaojob.com/announcement/detail/195427.html
104,天津华北地质勘查局,2024-03-13 18:06:11,专技岗（软件开发技术员2）—023,应届生,硕士研究生,公立（国有）,前后端程序开发岗,天津-天津,https://www.gaoxiaojob.com/announcement/detail/195432.html
153,河南省气象局,2024-03-12 18:24:03,"雷电防御,网络维护,业务保障1",应届生,硕士研究生,公立（国有）,"工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）",河南-郑州,https://www.gaoxiaojob.com/announcement/detail/195062.html
205,黑龙江省气象局,2024-03-12 18:22:01,飞机作业与探测,应届生,硕士研究生,公立（国有）,工作人员（技术人员岗类）,黑龙江-哈尔滨,https://www.gaoxiaojob.com/announcement/detail/195016.html
166,滨州职业学院#,2024-03-12 18:19:11,"教师01,教师28",应届生,硕士研究生,公立（国有）,"专职教师/教学科研岗,专职教师/教学科研岗",山东-滨州,https://www.gaoxiaojob.com/announcement/detail/194980.html
141,松山湖材料实验室,2024-03-12 18:08:55,FPGA工程师-精密仪器研发团队,应届生,硕士研究生,公立（国有）,实验技术岗,广东-东莞,https://www.gaoxiaojob.com/announcement/detail/81747.html
137,扬州市职业大学#,2024-03-12 18:03:28,高邮湖校区信息化专业技术工作人员1,应届生,硕士研究生,公立（国有）,技术支撑岗,江苏-扬州,https://www.gaoxiaojob.com/announcement/detail/194928.html
